riddle,choice0,choice1,choice2,choice3,choice4,label
火把接力传递 （打一成语）,付之一炬,流离失所,焚毁,掠走,苦心经营,0
万紫千红次第开 （经济作物）,春花生,夏玉米,水稻,出苗期,小麦,0
我放二鸟出囚笼 （动物名）,红嘴鸥,翠鸟,丹顶鹤,天鹅,白鹭,3
跳槽已司空见惯 （打一成语）,聪明绝顶,少不更事,涉世未深,年幼无知,懵懵懂懂,1
不是鱼鳔打个结，不是泥鳅泥里歇，不是蚕虫又吐丝，不是蜂窝多洞穴。 （打一植物）,冬笋,藕,茨菇,荸荠,茭白,1
有一老太不简单，睁一眼来闭一眼，夜里什么都看见，小贼难逃五指山。 （打一动物）,长颈鹿,猫头鹰,鹦鹉,几维鸟,负鼠,1
藤长长来叶杈杈，生来爱在地上爬，地上不见它结果，地下长满红疙瘩。 （打一农作物）,红薯,板栗,杂粮,芋头,南瓜,0
白牛犁白地，白地撒芝麻，今年撒下去，明年才发芽。 （打一动物）,蚕蛾,卵袋,蜜蜂,昆虫纲,蟾蜍,0
盲人摸象（打一成语）,目光短浅,鸡肠小肚,胡搅蛮缠,不识大体,心胸狭窄,3
皇（打一成语）,赛雪,如瓷,白玉无瑕,红装素裹,吹弹得破,2
烈火焚烧若等闲 （打一成语）,得意洋洋,自顾自,满不在乎,若无其事,慢吞吞,3
艺徒结业证书 （古文篇目）,出师表,唐雎不辱使命,杨修之死,三国演义,隆中对,0
嘴巴大，舌头小，抓住尾巴，大跳大叫。 （打一物）,铃,叮叮,蝉,霹雳,夜莺,0
幽意无断绝 （歌名）,梦醒时分,不了情,痴男怨女,无言的结局,恨爱,1
点心 （打一成语）,不着边际,高谈阔论,颠三倒四,云山雾罩,东拉西扯,0
原籍沈阳 （打一外国书名）,玛丽恩巴德悲歌,老舍文集,里斯本之夜,这是不是个人,战争与和平,2
泥瓦匠抹墙 （打一成语）,抹稀泥,一推六二五,耍无赖,息事宁人,糊涂虫,0
为啥没有房子，定要说个一二 （打一电影名）,新警察故事,英雄本色,无间道3,义不容情,夺命金,2
两角尖尖体力好，农户人家不可无，生产粮食千万石，自己反而吃青草。 （打一动物）,吃草,猪,羊,牛,膘肥体壮,3
树上有个歌唱家，娶个媳妇是哑巴，生下孩子命运苦，地牢里面度生涯。 （打一动物）,知了,蝉,麻雀,秋虫,斑鸠,0
黄浦江日出 （打中国小说名一）,烈火中永生,石挥,风云初记,上海的早晨,家春秋,3
大肚哥哥没骨头，有时胖来有时瘦，空着肚子不会站，吃饱让人扛着走。 （打一物）,捆,箱子,箩筐,麻袋,扁担,3
墙上一条河，刮风不扬波，夏天河水涨，冬天河水落。 （打一物）,听诊器,加热套,烘箱,温度计,寒暑表,3
穿了件马甲，就说是老板 （外国名著）,dc漫画,反英雄,埃及艳后,简·爱,化身博士,4
小时葱葱像绿毡，老时滚滚金浪翻，说来脾气也古怪，粉身碎骨成洁白。 （打一植物）,大豆,粮食作物,小麦,水稻,玉米,2
原地等失主 （打一成语）,虚怀若谷,待人接物,品行,谦和,言谈举止,1
二话不说 （打一成语）,开始沉默,话不投机,天各一方,抱头痛哭,相对无言,4
日里外面叫跳，夜宿古堂佛庙，等到三麦登场，首先它要尝到 （动物）,乌鸫,蟋蟀,麻雀,灰喜鹊,野鸭,2
四四方方，面上光光，长着四条腿，站着不出房。 （打一家居用品）,桌子,写字台,书架,沙发,木床,0
西边来了一个怪，戴副眼镜好气派，拿着竹笛不去吹，张着嘴吃起来。 （打一动物）,金丝猴,大熊猫,长颈鹿,朱鹮,中国国宝,1
三个儿童一个喜欢谜语 （打一成语）,爱情故事,生死恋,同桌的你,萝莉与大叔,两小无猜,4
粗胳膊 （打二字称谓）,大腕,演员,影视明星,不差钱,教父,0
问姓惊初见，称名忆旧客 （歌曲名）,晚些,不会太久,告一段落,十天,时间到了,1
头戴扇子帽，身穿花锦袍，专爱钻树林，有病它治好。 （打一动物）,猫头鹰,啄木鸟,小云雀,松鸭,七星瓢虫,1
走遍了东西南北 （打一成语）,细致,面面俱到,有的放矢,用心,人无完人,1
推呀拉呀转又转，宜度小娥结良缘。 （打一成语）,时来运转,守得云开见月明,美梦成真,好事多磨,一帆风顺,3
似鸟又非鸟，有翅身无毛，一脸丑模样，专爱夜遨游（打一动物名）,甲虫,怪鸟,蜘蛛,蝙蝠,蜥蜴,3
头戴尖角帽，身穿黄皮袄；做工出大力，从不怕疲劳。 （打一动物）,猪,高价,山羊,黄牛,退票,3
人而无信 （打一成语）,彼一时此一时,掷地有声,当头棒喝,事过境迁,言犹在耳,4
禅堂诵声连日起 （打一成语）,阵阵,沉醉,动人心弦,经久不息,回荡,3
来信未拆 （打一成语）,一五一十,掰开揉碎,几百遍,郑重其事,原封不动,4
尾巴长，鬃毛飘，会拉车，能奔跑，四个蹄子嗒嗒响，帮助人们立功劳。 （打一动物）,驴,马,胡,汪,骆驼,1
千门万户喜洋洋 （西药名）,燃气灶,瑞源,益康,家家乐,苏泊尔,3
头上尖尖身子直，满肚文章嘴里出。 （打一物）,描红本,砚台,印泥,墨锭,毛笔,4
身穿黑衣肚内糠，一夜过了见阎王。 （打一物）,蟑螂药,火柴,蚊香,苍蝇拍,敌敌畏,2
圆圆空空一座城，城里城外都是兵，个个穿着黄马褂，不知哪个是统领。 （打一动物）,火箭,得分王,黄蜂,老鹰,灰熊,2
